Name,Encodings,SoE
Jeff Bezos,"-0.03337370604276657,0.07910799980163574,0.02666448801755905,-0.0147568853572011,-0.039928119629621506,-0.025628671050071716,0.032009344547986984,-0.07774486392736435,0.012246844358742237,-0.08328859508037567,0.16067564487457275,-0.08787958323955536,-0.22922499477863312,-0.05903635546565056,0.07639046013355255,0.053358450531959534,-0.12612266838550568,-0.20151956379413605,-0.1392824947834015,-0.06569007784128189,0.10825414955615997,-0.0006570429541170597,-0.006322803907096386,0.08396854996681213,-0.21638904511928558,-0.2872174382209778,-0.09250977635383606,-0.15947093069553375,0.16994258761405945,-0.13181839883327484,-0.007771197706460953,-0.03192479908466339,-0.1520930528640747,-0.04203883558511734,0.00663215946406126,0.07233662903308868,0.021761512383818626,-0.0688278079032898,0.23525039851665497,0.05317430943250656,-0.26888567209243774,0.083943210542202,-0.02976822666823864,0.3162126839160919,0.24228578805923462,0.03223668038845062,0.05367047339677811,-0.06387210637331009,0.022279730066657066,-0.18974550068378448,0.09001211076974869,0.20464913547039032,0.09602924436330795,0.0763600617647171,0.07870130240917206,-0.10080602765083313,-0.02583799511194229,0.12123403698205948,-0.21886397898197174,0.05580517649650574,0.04158104956150055,-0.018525993451476097,0.07545492053031921,-0.08532582223415375,0.10395187139511108,-0.007998859509825706,-0.11144260317087173,-0.11635202914476395,0.17206084728240967,-0.2536657750606537,-0.13015824556350708,0.06275928765535355,-0.11489006876945496,-0.10294180363416672,-0.32751932740211487,0.030479274690151215,0.3726918399333954,0.18982011079788208,-0.21167252957820892,0.046752676367759705,-0.07860727608203888,-0.05790800228714943,0.10517338663339615,0.11540019512176514,-0.01863211579620838,-0.0012720990926027298,-0.0395282544195652,0.05178320035338402,0.14931689202785492,-0.013873755000531673,-0.00495515763759613,0.15162892639636993,-0.01439044438302517,-0.055595338344573975,0.07422460615634918,0.09362504631280899,-0.16523493826389313,-0.021923890337347984,-0.07806599885225296,-0.053659018129110336,0.009240184910595417,-0.06826698780059814,0.03522606939077377,0.1991344839334488,-0.19216085970401764,0.18139998614788055,-0.032168447971343994,-0.0828486829996109,-0.023358220234513283,0.0709465891122818,-0.05760139971971512,-0.052677977830171585,0.1566879004240036,-0.2540017366409302,0.11681205034255981,0.3029452860355377,-0.0540740042924881,0.022858064621686935,0.0870087668299675,0.05652511864900589,-0.010507533326745033,0.024706587195396423,-0.25135013461112976,-0.09396477043628693,0.0111063402146101,0.009488512761890888,0.023621566593647003,0.003492881078273058",-0.722319636
Jennifer Lawrence,"-0.13256461918354034,0.18569539487361908,0.17883123457431793,-0.09381808340549469,-0.2020791620016098,-0.050550565123558044,-0.06401491165161133,-0.12905487418174744,0.1351674497127533,-0.029580770060420036,0.21307730674743652,-0.07558038085699081,-0.2302749752998352,-0.04153909906744957,-0.03278446942567825,0.21025320887565613,-0.07593230158090591,-0.1889268308877945,-0.0541449710726738,-0.0321793295443058,0.0593949519097805,0.02169041708111763,-0.03372544050216675,0.05106334388256073,-0.1850460022687912,-0.3341963291168213,-0.07150166481733322,0.011523682624101639,-0.06690779328346252,-0.05953097343444824,-0.04734066128730774,0.15818896889686584,-0.2395860105752945,-0.027515260502696037,0.0125109339132905,0.22519350051879883,0.005582327954471111,-0.13334915041923523,0.056879281997680664,0.019625168293714523,-0.2699434459209442,0.009339933283627033,0.09848286211490631,0.23043617606163025,0.19448117911815643,-0.024118969216942787,0.09011361747980118,-0.09035476297140121,0.024628665298223495,-0.2977200150489807,0.12137091159820557,0.18288497626781464,0.022676486521959305,0.07337310165166855,0.049446992576122284,-0.17315706610679626,0.00608685240149498,0.08772987872362137,-0.22894056141376495,-0.01979452185332775,0.1575264185667038,-0.0784347727894783,-0.07329774647951126,-0.22350259125232697,0.1987055093050003,0.23933307826519012,-0.13131080567836761,-0.15813635289669037,0.16119147837162018,-0.15797457098960876,-0.11089401692152023,0.04097609966993332,-0.14093613624572754,-0.14639021456241608,-0.40222975611686707,0.0827922523021698,0.38968923687934875,0.19219613075256348,-0.2123144268989563,-0.0067034633830189705,-0.08749880641698837,0.0021805884316563606,-0.03619338199496269,0.11847720295190811,0.04298841580748558,0.03649568185210228,-0.11972865462303162,0.07452673465013504,0.22995981574058533,-0.03836490213871002,0.036403995007276535,0.2772058844566345,0.04750519245862961,-0.04333087056875229,-0.06493805348873138,0.130658820271492,-0.099342942237854,-0.0011608540080487728,-0.12058154493570328,0.013510528020560741,-0.03178125619888306,-0.03205898776650429,-0.05985601991415024,0.17062687873840332,-0.2127716988325119,0.1655988097190857,-0.006056423764675856,-0.04248663783073425,-0.08021123707294464,-0.08682535588741302,-0.025056147947907448,-0.05128803104162216,0.13291716575622559,-0.2282586395740509,0.14009445905685425,0.17168259620666504,0.02333180606365204,0.13741998374462128,0.07034926861524582,0.13402333855628967,0.035401053726673126,-0.13024500012397766,-0.12505416572093964,-0.08380193263292313,0.025200843811035156,-0.08399777114391327,-0.0374784991145134,0.14413537085056305",-0.947413198
Jerry Seinfeld,"0.014179577119648457,0.1003425121307373,0.02553325705230236,-0.05118918791413307,-0.09391854703426361,0.03978310525417328,-0.053578414022922516,-0.13840538263320923,0.103151835501194,-0.04442479461431503,0.2278793752193451,0.03160277381539345,-0.26307472586631775,-0.013952560722827911,-0.056957047432661057,0.12380161881446838,-0.25627973675727844,-0.07017342001199722,-0.13422219455242157,-0.12854838371276855,0.020551420748233795,0.08794628828763962,0.041420746594667435,0.03317762911319733,-0.13151365518569946,-0.32513266801834106,-0.1019238755106926,-0.09585636854171753,0.11775802820920944,-0.09156128764152527,-0.02747819386422634,-0.03984552249312401,-0.17371416091918945,-0.011548928916454315,0.058161087334156036,-0.021765971556305885,-0.04325132071971893,-0.1301107108592987,0.19446521997451782,0.08793699741363525,-0.070865198969841,0.09505178779363632,0.05009371414780617,0.2860649526119232,0.15337790548801422,0.07004687190055847,0.09421852231025696,-0.09714290499687195,0.11722437292337418,-0.26790672540664673,0.13869288563728333,0.1567678302526474,0.11744526773691177,0.046504613012075424,0.06529226899147034,-0.22061417996883392,-0.03478744626045227,0.1650417596101761,-0.15114982426166534,0.21219441294670105,0.09340716153383255,-0.04632312431931496,-0.02248881757259369,-0.03873981907963753,0.2350996434688568,0.10724599659442902,-0.13707780838012695,-0.11284631490707397,0.19639699161052704,-0.0977601706981659,-0.0399857759475708,-0.02035129815340042,-0.13801507651805878,-0.1630564033985138,-0.22451870143413544,0.08635896444320679,0.5334751605987549,0.13975684344768524,-0.20841224491596222,-0.027133680880069733,-0.16618822515010834,0.006270613521337509,0.07687415182590485,0.05082082003355026,-0.09040067344903946,-0.11465559899806976,-0.10547122359275818,0.07493376731872559,0.24607424437999725,-0.034863315522670746,-0.04555525258183479,0.279768168926239,0.017485221847891808,-0.0033694682642817497,0.02822142094373703,0.017614569514989853,-0.1560751050710678,-0.016503361985087395,-0.04890107735991478,-0.0036357492208480835,0.017277134582400322,-0.15841126441955566,0.02186676859855652,0.13210484385490417,-0.1808423548936844,0.15088137984275818,0.011348992586135864,-0.06315980851650238,0.08135344833135605,0.0703643411397934,-0.1443016678094864,-0.08951792120933533,0.20292341709136963,-0.3005223870277405,0.26424843072891235,0.22782212495803833,0.10200899094343185,0.15688928961753845,0.008190515451133251,0.14372026920318604,0.029091445729136467,-0.000420399010181427,-0.1404750943183899,-0.10903754830360413,-0.010411174036562443,-0.030964255332946777,-0.007757829502224922,0.05157593637704849",0.298136376
Jhonny Depp,"-0.1412479132413864,0.20247295498847961,0.12162615358829498,-0.044876694679260254,-0.11877328157424927,-0.036648478358983994,-0.06883074343204498,-0.12228790670633316,0.13058429956436157,-0.06739742308855057,0.2551535367965698,-0.02472040057182312,-0.28050559759140015,-0.015838295221328735,0.06268437206745148,0.06847376376390457,-0.09176307171583176,-0.15457621216773987,-0.13423743844032288,0.011482778005301952,0.019281992688775063,0.03910723701119423,-0.004973466508090496,0.037196483463048935,-0.08235099166631699,-0.34116339683532715,-0.04421527311205864,-0.008748548105359077,-0.045539677143096924,-0.07716061174869537,-0.011482936330139637,0.0010605615098029375,-0.17694821953773499,-0.09617043286561966,0.056870900094509125,0.07828876376152039,-0.05571814998984337,-0.08109784126281738,0.1721709966659546,-0.033507540822029114,-0.21670915186405182,-0.05570388212800026,0.10652466118335724,0.24532951414585114,0.22106213867664337,0.02922392264008522,-0.005777573212981224,-0.052628904581069946,0.09004730731248856,-0.20741169154644012,0.11530551314353943,0.1470186710357666,0.1880740374326706,0.07794345170259476,0.1250619888305664,-0.21549296379089355,0.0423327311873436,0.14508657157421112,-0.18985681235790253,0.03645157068967819,0.08727795630693436,-0.10431253910064697,-0.021630290895700455,-0.0035992113407701254,0.23469455540180206,0.1270192712545395,-0.12741157412528992,-0.12645237147808075,0.09200935065746307,-0.08212549984455109,-0.06645811349153519,0.11719132214784622,-0.13153807818889618,-0.16542457044124603,-0.26364654302597046,0.01612096279859543,0.42065417766571045,0.06555123627185822,-0.27464744448661804,-0.07268915325403214,-0.06873857975006104,-0.035847291350364685,0.04614850878715515,0.05354763939976692,-0.07656104862689972,-0.09037584811449051,-0.14374478161334991,-0.008866915479302406,0.20817364752292633,0.05691353976726532,-0.08518031239509583,0.2215813547372818,0.03207100182771683,-0.0897047147154808,0.08000301569700241,0.09848997741937637,-0.08615153282880783,-0.04565738886594772,-0.1274091750383377,-0.07458289712667465,0.03682607784867287,-0.12494837492704391,-0.0847192108631134,0.11361656337976456,-0.24285238981246948,0.11821842193603516,0.04802839457988739,0.04029335081577301,0.015250524505972862,-0.0325259268283844,-0.07285033166408539,-0.052809346467256546,0.12407265603542328,-0.30453017354011536,0.16941063106060028,0.10808299481868744,-0.006133129354566336,0.15320968627929688,0.007063991390168667,0.06045619398355484,0.041677169501781464,-0.03287548944354057,-0.07449465245008469,-0.14086739718914032,0.014856657013297081,0.03186649829149246,0.10826510190963745,0.06065862998366356",-0.811505886
Kate Winslet,"-0.24759405851364136,0.14672914147377014,0.15998676419258118,-0.12829017639160156,-0.2024661749601364,-0.029465679079294205,-0.146851047873497,-0.12703782320022583,0.2681385576725006,-0.11093397438526154,0.1743415892124176,-0.021656420081853867,-0.22205348312854767,0.012555517256259918,-0.022712089121341705,0.1869059056043625,-0.13750803470611572,-0.13265711069107056,-0.0567505843937397,-0.05180469900369644,0.10185720026493073,0.0756329819560051,0.00399238895624876,0.0760960504412651,-0.13795390725135803,-0.33508986234664917,-0.0851939395070076,-0.01581028290092945,0.02325434423983097,-0.09573324024677277,-0.05099572241306305,0.008220130577683449,-0.16332533955574036,-0.0784619152545929,-0.019308794289827347,0.19144582748413086,-0.08846088498830795,-0.1670164316892624,0.1340412050485611,-0.015937423333525658,-0.2592708468437195,-0.0628264844417572,0.10268202424049377,0.23782964050769806,0.25474995374679565,0.043780118227005005,0.03151937201619148,-0.09613797068595886,0.18378789722919464,-0.36778056621551514,0.05113931745290756,0.16501784324645996,-0.015343612991273403,0.06886023283004761,0.21497014164924622,-0.19673994183540344,-0.008129899390041828,0.13877566158771515,-0.16970418393611908,0.06907525658607483,0.10193170607089996,-0.1347668319940567,-0.00777109619230032,-0.2268034815788269,0.2648784816265106,0.1442628651857376,-0.11798455566167831,-0.1379585862159729,0.2116212099790573,-0.09410156309604645,-0.1226244643330574,0.09790397435426712,-0.11500301212072372,-0.19522982835769653,-0.3701801300048828,0.018232807517051697,0.39786362648010254,0.21262839436531067,-0.145158588886261,0.07969663292169571,-0.09558939933776855,-0.024032171815633774,-0.05380762368440628,0.08843774348497391,0.05094217509031296,0.01413344033062458,-0.13384856283664703,-0.037517838180065155,0.2577229142189026,-0.045938875526189804,0.06747724115848541,0.2989373207092285,0.05910707265138626,-0.017311811447143555,-0.02042161300778389,0.1148364469408989,-0.21552160382270813,-0.062086399644613266,-0.20146892964839935,-0.08979160338640213,0.04968148469924927,-0.04576892405748367,0.02603655308485031,0.10548755526542664,-0.22239360213279724,0.1963421255350113,0.013649974018335342,-0.02154877968132496,-0.08230393379926682,-0.0719238743185997,-0.11788436025381088,0.020234445109963417,0.1931309998035431,-0.25138601660728455,0.19640742242336273,0.14765121042728424,0.1040751188993454,0.21566715836524963,0.09615040570497513,0.10250519216060638,-0.01416672021150589,-0.03654284030199051,-0.05016295611858368,-0.13371619582176208,-0.004858114290982485,-0.02320045977830887,0.014362960122525692,0.18327230215072632",-0.537123929
Leonardo DiCaprio,"-0.09328995645046234,0.09598222374916077,0.10838151723146439,-0.0067894235253334045,-0.1599719524383545,-0.01030992716550827,0.04218411445617676,-0.08616393059492111,0.10169024020433426,0.013928194530308247,0.2531629204750061,-0.08942455053329468,-0.21778708696365356,-0.08853976428508759,-0.050577111542224884,0.08290495723485947,-0.07829869538545609,-0.15792149305343628,-0.060056354850530624,-0.04561781883239746,0.0662117749452591,-0.0037243703845888376,0.031490758061409,0.059505950659513474,-0.08105513453483582,-0.33782970905303955,-0.046050719916820526,-0.10563847422599792,0.03612000495195389,-0.17176339030265808,0.008705525659024715,0.14856676757335663,-0.18863165378570557,-0.10946081578731537,-0.0049356380477547646,0.11121898889541626,-0.06468795239925385,-0.10425461083650589,0.19765570759773254,-0.03809138014912605,-0.13823983073234558,0.06179839000105858,-0.015841741114854813,0.35550442337989807,0.12391455471515656,0.01015771646052599,0.028739716857671738,-0.07404458522796631,0.15373754501342773,-0.28307169675827026,-0.007951708510518074,0.19238300621509552,0.08933831751346588,0.023201316595077515,0.05679165944457054,-0.05636245012283325,0.11785237491130829,0.07058432698249817,-0.19287259876728058,0.040445875376462936,0.08891628682613373,-0.12069350481033325,-0.008076228201389313,-0.16021676361560822,0.21769537031650543,0.030630748718976974,-0.07297772914171219,-0.047448866069316864,0.03410710021853447,-0.05575796589255333,-0.08866091072559357,0.11983354389667511,-0.15788958966732025,-0.13573171198368073,-0.28345099091529846,0.08101481199264526,0.5162584185600281,0.08940140902996063,-0.2102893590927124,0.03400324285030365,-0.13038429617881775,0.06890798360109329,0.08637338876724243,0.009015649557113647,-0.09653391689062119,-0.03563845157623291,-0.20398052036762238,0.04474498704075813,0.19911019504070282,-0.062024977058172226,-0.07562397420406342,0.12872791290283203,0.04182889312505722,0.04428974911570549,0.06503916531801224,0.04490714520215988,-0.047470077872276306,0.013230472803115845,-0.1090497076511383,0.037026289850473404,0.06539768725633621,-0.11622071266174316,-0.05432703718543053,0.04886868596076965,-0.21409781277179718,0.12433566898107529,0.00812114030122757,-0.013919319957494736,0.006092843133956194,-0.09855437278747559,-0.11943595856428146,0.056196101009845734,0.13246984779834747,-0.36092880368232727,0.1870698630809784,0.15888841450214386,0.008389568887650967,0.13601092994213104,0.04646717756986618,0.03483416140079498,-0.10973303020000458,-0.04597656428813934,-0.09628702700138092,-0.12276079505681992,0.14770951867103577,0.053833696991205215,0.03853442519903183,-0.015496993437409401",-0.708453131
Madonna,"-0.22665664553642273,0.11262381821870804,0.190257266163826,-0.13028720021247864,-0.17204613983631134,-0.017617471516132355,-0.03827952593564987,-0.13731539249420166,0.13644233345985413,-0.11263004690408707,0.06710178405046463,-0.1263088583946228,-0.2536706328392029,0.06110323965549469,-0.04494708031415939,0.17379333078861237,-0.0486404225230217,-0.18727311491966248,-0.11290933936834335,-0.10414828360080719,0.008974170312285423,0.17685018479824066,-0.06584378331899643,0.05604502186179161,-0.09563523530960083,-0.2414536476135254,-0.03547189012169838,-0.05003583803772926,0.017609350383281708,-0.056453853845596313,0.01776699721813202,0.0850735530257225,-0.22428995370864868,-0.06942962110042572,0.019984513521194458,0.15757910907268524,0.003870478831231594,-0.15955805778503418,0.18441759049892426,-0.07697437703609467,-0.28257614374160767,-0.05999988317489624,0.17692244052886963,0.20870375633239746,0.14784491062164307,-0.01889977976679802,-0.014228742569684982,-0.032094746828079224,0.12749329209327698,-0.2778746485710144,-0.06984162330627441,0.10259935259819031,0.05013929307460785,0.03912544995546341,0.08067261427640915,-0.23178908228874207,0.05731089040637016,0.11071299761533737,-0.21954399347305298,0.05788109079003334,0.0641571655869484,-0.21012087166309357,0.019273467361927032,-0.06450286507606506,0.241997629404068,0.02318442240357399,-0.04019795358181,-0.16344046592712402,0.24331820011138916,-0.14276042580604553,-0.013118480332195759,0.17408953607082367,-0.08866381645202637,-0.11282557994127274,-0.2695460915565491,0.03409246355295181,0.419330358505249,0.14784781634807587,-0.0954534113407135,0.14277534186840057,-0.07630353420972824,-1.1499505490064621e-05,0.0007325442275032401,0.08947554975748062,0.01364062912762165,0.01177150011062622,-0.07283525168895721,0.02546478435397148,0.28660422563552856,-0.029332948848605156,0.03214065730571747,0.23548032343387604,0.061793792992830276,-0.05392909422516823,-0.02221500687301159,0.02919504977762699,-0.12172825634479523,-0.04159673675894737,-0.09383584558963776,0.0017594723030924797,0.06748757511377335,-0.03433949127793312,0.08726567775011063,0.1824922114610672,-0.2186860740184784,0.091792993247509,-0.04875650256872177,-0.05358355492353439,-0.058342862874269485,0.004550572019070387,-0.01361147128045559,-0.034744638949632645,0.17922276258468628,-0.23961390554904938,0.11689732223749161,0.14559392631053925,-0.06909997761249542,0.15615136921405792,0.06843997538089752,0.09977997094392776,0.06924393773078918,-0.004794027656316757,-0.11630970984697342,-0.14980602264404297,0.1352822333574295,-0.04611616209149361,0.07562878727912903,0.14228777587413788",-0.245806742
Megan Fox,"-0.12966710329055786,0.13098245859146118,0.08897335827350616,-0.08879183977842331,-0.20095592737197876,-0.0405656099319458,-0.12094143778085709,-0.14319896697998047,0.09825021773576736,-0.06497766822576523,0.1541471779346466,-0.07830537855625153,-0.3613548278808594,0.1398611068725586,-0.1643470972776413,0.13097530603408813,-0.2064812034368515,-0.10772006958723068,-0.07845177501440048,-0.06341367214918137,0.07035034894943237,0.011902045458555222,0.029897263273596764,0.18099695444107056,-0.024042198434472084,-0.3230692744255066,-0.09421612322330475,-0.008319617249071598,-0.005394602194428444,-0.06069815903902054,-0.028728771954774857,0.027085712179541588,-0.25239992141723633,-0.047568999230861664,-0.00219797994941473,0.10985149443149567,0.027832217514514923,-0.14556166529655457,0.10263838618993759,0.007613472640514374,-0.17997558414936066,-0.06824492663145065,0.1805349737405777,0.27296772599220276,0.20707054436206818,0.06933118402957916,0.02114291675388813,-0.0444757342338562,0.19410158693790436,-0.3145446479320526,0.08011287450790405,0.18792182207107544,0.15832094848155975,0.05858432501554489,0.06673367321491241,-0.24909913539886475,0.0394885316491127,0.11193092167377472,-0.10840623825788498,0.11352407187223434,0.10544386506080627,-0.05002821981906891,0.04964575171470642,-0.13801977038383484,0.2841018736362457,0.10048654675483704,-0.1579352617263794,-0.08600776642560959,0.1885433942079544,-0.1640653759241104,-0.01438014768064022,0.03650056570768356,-0.1619669795036316,-0.14415088295936584,-0.274522602558136,0.02558087557554245,0.44959938526153564,0.1336282640695572,-0.10037356615066528,0.05256960168480873,-0.12693381309509277,-0.0337132103741169,-0.10407872498035431,0.15069647133350372,-0.05769544094800949,0.07734904438257217,-0.1418762058019638,0.0880715474486351,0.23461417853832245,-0.054015353322029114,0.044906143099069595,0.3570610284805298,0.010435791686177254,-0.023702014237642288,0.05603675916790962,0.12920792400836945,-0.21779322624206543,-0.056521225720644,-0.1533491015434265,0.030933072790503502,-0.04510096088051796,-0.11947266757488251,-0.02203613892197609,0.04070466756820679,-0.1815880388021469,0.0410454198718071,-0.05147983878850937,0.005465918220579624,-0.05898471549153328,-0.043734416365623474,-0.14397916197776794,-0.11452576518058777,0.1769145131111145,-0.2470296025276184,0.1324881911277771,0.1224367618560791,0.0653863474726677,0.14284655451774597,0.02956450544297695,0.14239580929279327,0.07591889053583145,-0.06854702532291412,-0.015941208228468895,-0.11457937210798264,0.047203827649354935,-0.09658306837081909,-0.034020181745290756,0.07190211117267609",-0.652037985
Mindy Kaling,"-0.15257257223129272,-0.03371986374258995,0.0637558251619339,-0.07020110636949539,-0.03930777311325073,-0.040344830602407455,-0.03347981348633766,-0.07426781952381134,0.21144573390483856,-0.08203206211328506,0.19676607847213745,-0.010412846691906452,-0.3049367070198059,0.011836815625429153,-0.05257868021726608,0.10604297369718552,-0.17172861099243164,-0.14004158973693848,-0.0930560901761055,-0.02684694528579712,-0.0471617616713047,0.04486744478344917,0.08776501566171646,0.03713760897517204,-0.1425289660692215,-0.4014206528663635,-0.1043117344379425,-0.047695815563201904,-0.05427860468626022,-0.013593219220638275,0.06247320771217346,0.11561378836631775,-0.23657523095607758,-0.08759396523237228,0.06428253650665283,0.14538651704788208,-0.061305075883865356,-0.08995537459850311,0.2591708302497864,-0.02307732030749321,-0.22188782691955566,-0.12277986854314804,0.1085977628827095,0.22627179324626923,0.14910557866096497,0.09360659122467041,-0.039686258882284164,-0.10345830023288727,0.04356851428747177,-0.28680408000946045,0.04919910430908203,0.19042375683784485,0.10214336216449738,0.07780469208955765,0.03343489393591881,-0.14507535099983215,0.057830676436424255,0.1635340303182602,-0.2382875680923462,-0.06308743357658386,-0.03314697742462158,-0.07422956079244614,-0.007585885934531689,-0.07680210471153259,0.2861330211162567,0.11348170787096024,-0.16315151751041412,-0.07763276249170303,0.2363397181034088,-0.14309009909629822,-0.012249894440174103,0.11913365125656128,-0.07373905181884766,-0.25847020745277405,-0.2458263784646988,-0.022969365119934082,0.3442470133304596,0.07705919444561005,-0.12633828818798065,0.05487758293747902,-0.11808198690414429,-0.1000424176454544,-0.052984364330768585,0.1112002357840538,-0.05502283573150635,0.01615653745830059,-0.0187472403049469,-0.007364310324192047,0.20693816244602203,0.020198728889226913,-0.03229613974690437,0.1982371211051941,0.018498392775654793,-0.02449752949178219,0.08684112876653671,0.09554760903120041,-0.08549417555332184,0.004539135843515396,-0.19882597029209137,-0.0037151742726564407,0.06086878851056099,0.002337507903575897,0.001054619438946247,0.08323950320482254,-0.18754370510578156,0.16281965374946594,0.02497696876525879,-0.11836522817611694,0.08795930445194244,-0.07271846383810043,-0.04399637505412102,-0.11951948702335358,0.1771087497472763,-0.3709013760089874,0.17627990245819092,0.1373109370470047,-0.030663980171084404,0.2557019889354706,0.013035167939960957,0.12195717543363571,-0.015440532006323338,-0.0340750552713871,-0.20550401508808136,-0.10576904565095901,0.08884339034557343,-0.033052846789360046,0.08828709274530411,0.02786768227815628",-1.004803562
Natalie Portman,"-0.17676232755184174,0.12332867085933685,0.16902291774749756,-0.13253900408744812,-0.14477227628231049,-0.03165886178612709,0.022011131048202515,-0.06718095391988754,0.19690801203250885,-0.10931166261434555,0.19047945737838745,-0.10091561079025269,-0.32460615038871765,0.0876106321811676,-0.08332877606153488,0.16160106658935547,-0.15617401897907257,-0.18511530756950378,-0.03782280161976814,-0.08903703838586807,0.18000562489032745,0.0072020478546619415,-0.0302718635648489,0.06190637871623039,-0.21122902631759644,-0.24269936978816986,-0.12430939823389053,0.013073205947875977,0.006761869415640831,-0.11418543756008148,0.07832096517086029,0.11130325496196747,-0.18101467192173004,0.03441789746284485,-0.005558077245950699,0.20687469840049744,-0.0048329029232263565,-0.24439729750156403,0.1890360414981842,0.06065327674150467,-0.21814797818660736,-0.019900746643543243,0.10196689516305923,0.24340805411338806,0.1675323098897934,0.04278896749019623,0.04855220764875412,-0.0694032609462738,0.1211845800280571,-0.28020650148391724,-0.006592407822608948,0.1995684802532196,0.09113117307424545,0.11650975793600082,0.11234961450099945,-0.2507856786251068,0.09660821408033371,0.13457393646240234,-0.20884014666080475,-0.011568732559680939,0.0709683895111084,-0.12615351378917694,0.05598757416009903,-0.15928547084331512,0.19631540775299072,0.10025566816329956,-0.10524115711450577,-0.11975120007991791,0.3127917945384979,-0.12686726450920105,-0.10612882673740387,0.1584419459104538,-0.14141596853733063,-0.15573668479919434,-0.17215511202812195,0.031989824026823044,0.3931371867656708,0.21232065558433533,-0.1184053048491478,0.057082757353782654,-0.05054555833339691,-0.004698987118899822,-0.04474370926618576,0.15270234644412994,-0.007946638390421867,0.0225820429623127,-0.13063794374465942,-0.010004142299294472,0.2714000642299652,-0.014194991439580917,0.005790182389318943,0.2578433156013489,0.09105594456195831,-0.044536467641592026,-0.004277353174984455,-0.0348040871322155,-0.1364111602306366,0.02751278318464756,-0.11315302550792694,-0.04032689705491066,-0.06048563867807388,-0.08958664536476135,-0.08101563155651093,0.08966394513845444,-0.21457073092460632,0.1480618417263031,-0.026783350855112076,-0.10187175869941711,-0.20809738337993622,-0.07535392045974731,-0.056037791073322296,0.11667554080486298,0.14919526875019073,-0.360568642616272,0.14006267488002777,0.21911419928073883,0.00818364042788744,0.16360843181610107,0.07621511071920395,0.13714759051799774,0.08270685374736786,-0.09701794385910034,-0.1261034458875656,-0.1590074747800827,0.040677353739738464,-0.07000502198934555,0.02619810588657856,0.07441142946481705",-0.290303923
Nicole Kidman,"-0.10118619352579117,0.07749345898628235,0.09647930413484573,-0.13768650591373444,-0.09863743931055069,0.017037197947502136,0.03184207156300545,-0.07890975475311279,0.2799109220504761,-0.04399906098842621,0.11856546998023987,-0.11725903302431107,-0.34864485263824463,0.06812092661857605,-0.011451749131083488,0.14551672339439392,-0.18093165755271912,-0.08865505456924438,-0.12059423327445984,-0.04957200959324837,0.01417222898453474,0.11024829000234604,0.02225971780717373,0.07997062057256699,-0.09034758806228638,-0.29334479570388794,-0.0583534799516201,-0.06412086635828018,0.0034544914960861206,-0.10105135291814804,0.018074743449687958,0.19377119839191437,-0.13463866710662842,-0.068516306579113,0.035454243421554565,0.12860777974128723,-0.10455162078142166,-0.19859325885772705,0.15350866317749023,-0.026414796710014343,-0.164950430393219,-0.08906733989715576,0.054752133786678314,0.2146892249584198,0.25110870599746704,-0.008274506777524948,0.031225912272930145,-0.14994829893112183,0.07305283099412918,-0.3959660828113556,0.025293100625276566,0.2215530425310135,-0.06826058775186539,0.1249416396021843,0.1349247843027115,-0.24375516176223755,0.020981302484869957,0.17876788973808289,-0.17804835736751556,0.08362052589654922,0.09507715702056885,-0.06336141377687454,0.04931706190109253,-0.06640877574682236,0.16342636942863464,0.09823194891214371,-0.09255100041627884,-0.13468019664287567,0.17174242436885834,-0.1394256204366684,-0.03569728881120682,0.12479975819587708,-0.15606597065925598,-0.2772046625614166,-0.1548771858215332,0.03890910744667053,0.3293907046318054,0.18366846442222595,-0.09493590146303177,0.07496462017297745,-0.1291118860244751,-0.03463971987366676,0.042524322867393494,0.06202105060219765,0.02393430285155773,-0.11604337394237518,-0.08160267025232315,0.0459619015455246,0.24066373705863953,-0.0673581138253212,0.02267647720873356,0.3124253749847412,0.004630103707313538,-0.14045082032680511,-0.006198487244546413,0.037683337926864624,-0.07774925231933594,0.06926602125167847,-0.18475453555583954,-0.04997509717941284,0.0901700034737587,-0.07824017852544785,-0.0028992616571485996,0.09519699215888977,-0.2049715667963028,0.13376876711845398,-0.002219115849584341,-0.055800020694732666,0.001988363917917013,-0.1980770230293274,-0.09205837547779083,0.05739505961537361,0.293902188539505,-0.2738564610481262,0.21036581695079803,0.15268833935260773,0.04084426164627075,0.1930219680070877,0.0008744415827095509,0.1431591957807541,0.09329301118850708,-0.0967249795794487,-0.09228703379631042,-0.02549482323229313,0.0939614325761795,0.08068489283323288,-0.065178781747818,0.044963981956243515",-0.179638529
